Feature,Importance
V17,0.14143170244954115
V12,0.12732341818593207
V14,0.1166766768441084
V10,0.09806987382395245
V11,0.07343266385364293
V16,0.061367103250059916
V9,0.04579268188600901
V18,0.02811867387654738
V4,0.025233604911345117
V26,0.020756120393770353
V21,0.019312936771112423
V7,0.017865491392947467
V3,0.016605939393357253
V1,0.01563694173420147
V27,0.01499418639910255
V2,0.014685919747219207
V20,0.014137287253571001
V19,0.013948463027575934
V6,0.013228413837831101
V5,0.012319695598651766
V28,0.011073503293729563
V22,0.010384156847741442
V24,0.010378284349413886
Amount_Log,0.010346288746411905
V15,0.01018430851364261
Time,0.010156786194431458
V8,0.010017983676241078
Amount,0.009881929394788458
V13,0.009832614184572189
V23,0.008771758616730622
V25,0.008034591551817847
